User_ID,Date,Wake_Up_Time,Sleep_Hours,Steps,Calories_Burned,Water_Intake_ml,Study_Hours,Mood_Score
U001,2025-09-17,07:02,5.8,19772,2645,571,0.4,2
U002,2025-07-15,05:27,5.0,14764,3325,4890,4.1,6
U003,2025-05-02,08:32,5.7,2225,1954,3183,4.6,1
U004,2025-10-25,06:42,9.4,4055,2144,2530,3.3,4
U005,2025-02-02,05:54,5.3,4314,2729,4028,2.5,8
U006,2025-01-23,08:48,5.0,1050,2266,4033,2.9,3
U007,2025-06-05,09:04,9.2,18718,3297,1623,5.3,10
U008,2025-05-25,09:28,7.6,7822,3631,3667,7.6,10
U009,2025-03-29,07:57,8.1,19960,1798,4073,4.6,9
U010,2025-04-01,07:55,7.9,15169,3447,2029,2.3,4
U011,2025-08-28,08:33,8.0,18877,2138,2156,5.7,7
U012,2025-01-18,06:05,8.8,3530,1471,3660,3.7,6
U013,2025-08-03,05:28,9.2,16431,2786,2376,4.2,9
U014,2025-04-08,08:39,9.5,12553,2714,3434,1.0,7
U015,2025-03-26,05:35,7.4,13087,3500,1717,0.2,1
U016,2025-02-20,08:23,5.8,19941,2660,3356,6.5,9
U017,2025-03-07,07:50,7.4,11655,1220,4607,3.8,5
U018,2025-06-15,05:02,5.2,15930,3789,4006,7.1,7
U019,2025-05-16,05:52,5.5,1671,2752,3671,6.6,6
U020,2025-06-07,06:19,7.6,10834,3149,2958,5.3,2
U021,2025-09-26,06:20,6.2,19896,3719,3724,4.2,9
U022,2025-01-08,07:12,5.1,18326,1982,4636,2.3,9
U023,2025-04-08,05:58,7.0,7156,2557,4486,4.9,10
U024,2025-04-09,09:40,8.3,8373,1614,517,4.7,3
U025,2025-01-24,06:20,6.7,18473,2725,4689,4.8,2
U026,2025-04-10,08:14,8.3,15524,3071,1083,3.2,7
U027,2025-08-10,07:26,5.2,15449,2636,2182,4.8,4
U028,2025-05-09,09:48,6.9,7902,2152,1044,2.6,6
U029,2025-02-13,07:12,6.3,9657,3685,1292,5.5,7
U030,2025-07-08,07:23,7.2,18888,3661,845,0.4,1
U031,2025-07-20,06:13,7.5,5829,3162,4744,0.1,9
U032,2025-05-20,05:51,5.1,13413,2087,2952,6.4,7
U033,2025-08-06,09:28,8.8,16705,2514,2980,7.1,2
U034,2025-09-07,07:17,8.2,2672,3062,1803,6.3,3
U035,2025-06-29,07:06,7.3,19563,2118,3042,1.3,8
U036,2025-10-23,07:26,8.5,3871,1242,1275,7.1,9
U037,2025-09-16,06:53,5.5,19024,2941,3519,6.2,5
U038,2025-02-14,08:51,8.6,3161,1996,3138,2.2,3
U039,2025-02-14,09:37,6.5,9305,2690,3631,4.6,2
U040,2025-06-08,06:45,8.9,10782,3715,2300,1.3,4
U041,2025-01-06,06:20,6.0,8828,3344,3102,4.1,1
U042,2025-10-20,07:24,8.1,16571,3540,3139,0.9,7
U043,2025-06-12,07:40,6.6,8003,2685,1178,3.2,8
U044,2025-04-03,05:27,7.8,10367,1378,2146,4.6,8
U045,2025-07-18,07:20,7.7,17800,3746,1301,5.9,5
U046,2025-08-07,07:50,7.1,16475,3720,1900,2.2,8
U047,2025-10-22,08:15,7.7,10068,2090,3095,0.1,1
U048,2025-02-22,06:13,5.5,9490,2836,579,6.9,10
U049,2025-08-19,05:15,8.1,11542,2283,594,0.5,5
U050,2025-06-07,08:58,8.5,5656,1297,3225,4.1,9
U051,2025-03-11,05:40,8.8,18606,1524,4565,3.8,7
U052,2025-02-21,08:22,6.1,19731,2960,2893,2.6,8
U053,2025-06-27,06:50,7.6,13555,1519,2260,1.0,10
